Enter QFE SDK License Key: 
QFE SDK Version: 1.1.5

Activating license and initializing SDK...
License activated and SDK initialized!

Maximum instances allowed by license: 100

Select processing mode:
  1. CPU (default)
  2. GPU (requires CUDA)
Enter choice [1/2]: CPU mode selected

Number of SDK instances to create:
  - More instances = higher parallel processing capacity
  - Each instance uses additional memory
Enter number of instances [1-100] (default: 1): Using 1 instance(s)

Enter model path (default: ./model): Using model path: C:\Users\sypark5\TestAgent\qfe-api-server-no-license\model

Enter database path (default: ./face_database.db): Using database: C:\Users\sypark5\TestAgent\qfe-api-server-no-license\face_database.db

Loading models from: C:\Users\sypark5\TestAgent\qfe-api-server-no-license\model
Database loaded: C:\Users\sypark5\TestAgent\qfe-api-server-no-license\face_database.db
CFG load: system_parameter.cfg
QFE SDK initialized successfully!
2026/04/22 10:26:55 WARNING: CORS is set to allow all origins (*). Set QFE_CORS_ORIGINS for production.
2026/04/22 10:26:55 Starting QFE API server on 0.0.0.0:8080
[GIN] 2026/04/22 - 10:26:56 | 200 |            0s |       127.0.0.1 | GET      "/health"
[GIN] 2026/04/22 - 10:27:16 | 200 |      8.2407ms |       127.0.0.1 | DELETE   "/api/v2/users"
[GIN] 2026/04/22 - 10:27:16 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/auto-template-update"
[GIN] 2026/04/22 - 10:27:16 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/info"
[GIN] 2026/04/22 - 10:27:16 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/load-config"
[GIN] 2026/04/22 - 10:27:16 | 200 |       956.3µs |       127.0.0.1 | GET      "/api/v2/matching-threshold"
[GIN] 2026/04/22 - 10:27:16 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/max-face"
[GIN] 2026/04/22 - 10:27:16 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/max-instance"
[GIN] 2026/04/22 - 10:27:16 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/templates-count"
[GIN] 2026/04/22 - 10:27:16 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/user/1/template"
[GIN] 2026/04/22 - 10:27:16 | 200 |       389.7µs |       127.0.0.1 | GET      "/health"
[GIN] 2026/04/22 - 10:27:16 | 200 |       388.5µs |       127.0.0.1 | GET      "/api/v2/user/not_an_integer/template"
[GIN] 2026/04/22 - 10:27:16 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/user/-1/template"
[GIN] 2026/04/22 - 10:27:16 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/user/0/template"
[GIN] 2026/04/22 - 10:27:16 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/user/1/template?sub_id=not_an_integer"
[GIN] 2026/04/22 - 10:27:16 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/user/1/template?sub_id=-1"
[GIN] 2026/04/22 - 10:27:16 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/user/1/template?sub_id=0"
[GIN] 2026/04/22 - 10:27:16 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/user/1/template?sub_id=-1"
[GIN] 2026/04/22 - 10:27:16 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/user/1/template?sub_id=0"
[GIN] 2026/04/22 - 10:27:16 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/user/1/templates/count"
[GIN] 2026/04/22 - 10:27:17 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/user/not_an_integer/templates/count"
[GIN] 2026/04/22 - 10:27:17 | 200 |            0s |       127.0.0.1 | GET      "/api/v2/user/-1/templates/count"
